rank,company_name,city,category,number_of_employees,description,company_website,careers_page,company_linkedin,office_address,remote_hq
1,ADP,Tempe,Accounting and Finance,10001+,HR and payroll software,https://www.adp.com/,https://jobs.adp.com/?rb=ADP_COM,https://www.linkedin.com/company/adp/about/,"111 W. Rio Salado Pkwy, Tempe, AZ 85281",Remote Office
2,Amazon Services,Tempe,IT Mgt,1001-5000,Phoenix development center for Amazon.com,https://services.amazon.com/,https://www.amazon.jobs/en/,https://www.linkedin.com/showcase/amazon-services/about/,"40 E Rio Salado Pkwy Tempe, AZ 85281",Remote Office
3,Anju Software,Tempe,Practice Management,201-500,Data management software for pharmaceutical companies,https://anjusoftware.com/,https://www.anjusoftware.com/company/careers,https://www.linkedin.com/company/anju-software/about/,"4500 S Lakeshore Dr, Tempe, AZ 85282",Local HQ
4,Basata,Tempe,AI and SaaS,11-50,Less chaos. More care. Your trusted partner for AI agents in healthcare operations.,https://www.basata.ai,https://www.basata.ai/about-team#careers,https://www.linkedin.com/company/basata,"222 S Mill Ave Suite 800, Tempe, AZ 85281",Local HQ
5,Carvana,Tempe,Personal On-Demand Services,10001+,Online car buying,http://www.carvana.com/,https://www.carvana.com/careers/,https://www.linkedin.com/company/carvana/about/,"300 E Rio Salado Pkwy, Tempe, Arizona 85281, US",Local HQ
6,Edge3 Technologies,Tempe,Analytics and BI,51-200,Artificial intelligence and ambient sensing for automotive industry,https://www.edge3technologies.com/,https://www.edge3technologies.com/careers/,https://www.linkedin.com/company/edge-3-technologies/about/,"688 West First St, Tempe, AZ 85281",Local HQ
7,Elevate Tickets,Tempe,Sales and Marketing,51-200,Music festival RFID access management and ticketing,https://www.elevatetickets.com/,https://www.elevatetickets.com/careers.html,https://www.linkedin.com/company/elevate-tickets/about/,"425 S Mill Ave #201, Tempe, AZ 85281",Local HQ
8,enChoice,Tempe,Business Mgt and ERP,51-200,Enterprise content management software tools,https://www.enchoice.com/,https://www.enchoice.com/Join-Our-Team,https://www.linkedin.com/company/enchoice-inc/about/,"1400 E Southern Ave, Suite 800, Tempe, AZ 85282",Local HQ
9,Endpoint,Tempe,Document Management,201-500,Modern real estate closing platform,https://endpointclosing.com/,https://www.endpoint.com/careers,https://www.endpoint.com/,"51 West 3rd Street, Suite 335, Tempe, AZ 85281",Remote Office
10,Genius Monkey,Tempe,Sales and Marketing,51-200,"Programmatic ad tech platform with proven targeting, tracking, and attribution for optimized results",https://geniusmonkey.com/,https://geniusmonkey.com/careers/,https://www.linkedin.com/company/genius-monkey/about/,"80 East Rio Salado Parkway, Suite 814,Tempe, AZ 85281",Local HQ
11,GitHired,Tempe,HR and Recruiting,1-10,"Find your next 10x Engineer by proof of work, not keywords",https://www.githired.tech/,https://www.linkedin.com/company/githirednow/jobs/,https://www.linkedin.com/company/githirednow,"1317 S Terrace Rd, Tempe AZ 85281",Local HQ
12,GlobalTranz,Tempe,Logistics and Supply Chain,1001-5000,Freight brokerage and trucking logistics,https://www.globaltranz.com/,https://www.globaltranz.com/about/careers/,https://www.linkedin.com/company/globaltranz/about/,"51 W. 3rd Street, Suite 500, Tempe, AZ 85281",Remote Office
13,Healthdox,Tempe,Compliance,10001+,Healthcare documentation compliance software,https://www.healthdox.com/,https://healthdox.com/?page_id=5169/,https://www.linkedin.com/company/healthdox/about/,"1427 N 3rd St #220, Phoenix, AZ 85004",Local HQ
14,Houzz,Tempe,Personal Real Estate,1001-5000,"Platform for home remodeling, improvement, design",http://www.houzz.com/,https://www.houzz.com/jobs/,https://www.linkedin.com/company/houzz/about/,"222 S Mill Ave, Tempe, AZ 85281",Remote Office
15,InflectionHR,Tempe,HR and Recruiting,51-200,"HR, payroll and workforce management software",https://www.inflectionhr.com/,https://secure3.yourpayrollhr.com/ta/IHR9999.careers?CareersSearch/,https://www.linkedin.com/company/inflection-hr/about/,"2325 W Guadalupe Rd, Ste 117, Gilbert, Arizona 85233, US",Local HQ
16,JPGlobal,Tempe,Business Mgt and ERP,1-10,"Pioneering Software Development Solutions Across Three Innovative Product Lines: Cypher, Predict Pilot, Titlesync",https://jpglobalsolutions.com/,https://www.linkedin.com/company/jpglobal/jobs/,linkedin.com/company/jpglobal/,"222 S Mill Ave, Suite 800, Tempe, AZ 85281",Local HQ
