company_name,company_slug,website,yc_directory_url,detected_board_type,selected_url,board_token,board_url,api_url,confirmation_status,job_count,endpoint_http_status,notes
Abundant,abundant,https://www.abundant.ai/,https://www.ycombinator.com/companies/abundant,ashby,https://www.abundant.ai/,abundant,https://jobs.ashbyhq.com/abundant,https://api.ashbyhq.com/posting-api/job-board/abundant?includeCompensation=true,live_jobs,3,200,
Accord,accord,https://inaccord.com,https://www.ycombinator.com/companies/accord,ashby,https://inaccord.com/company/about#careers,Accord,https://jobs.ashbyhq.com/Accord,https://api.ashbyhq.com/posting-api/job-board/Accord?includeCompensation=true,live_jobs,2,200,
AfterQuery,afterquery,https://afterquery.com,https://www.ycombinator.com/companies/afterquery,ashby,https://www.afterquery.com/careers,AfterQuery,https://jobs.ashbyhq.com/AfterQuery,https://api.ashbyhq.com/posting-api/job-board/AfterQuery?includeCompensation=true,live_jobs,26,200,
AiPrise,aiprise,https://aiprise.com/,https://www.ycombinator.com/companies/aiprise,ashby,https://www.aiprise.com/,aiprise,https://jobs.ashbyhq.com/aiprise,https://api.ashbyhq.com/posting-api/job-board/aiprise?includeCompensation=true,live_jobs,10,200,
Aleph,aleph,https://getaleph.com/,https://www.ycombinator.com/companies/aleph,ashby,https://www.getaleph.com/careers,aleph,https://jobs.ashbyhq.com/aleph,https://api.ashbyhq.com/posting-api/job-board/aleph?includeCompensation=true,live_jobs,7,200,
Ambient.ai,ambient-ai,https://ambient.ai,https://www.ycombinator.com/companies/ambient-ai,ashby,https://www.ambient.ai/careers,ambient.ai,https://jobs.ashbyhq.com/ambient.ai,https://api.ashbyhq.com/posting-api/job-board/ambient.ai?includeCompensation=true,live_jobs,19,200,
Anara,anara,https://anara.com,https://www.ycombinator.com/companies/anara,ashby,https://anara.com/,anara,https://jobs.ashbyhq.com/anara,https://api.ashbyhq.com/posting-api/job-board/anara?includeCompensation=true,live_jobs,4,200,
Apolink,apolink,https://apolink.space,https://www.ycombinator.com/companies/apolink,ashby,https://apolink.space/careers,apolink,https://jobs.ashbyhq.com/apolink,https://api.ashbyhq.com/posting-api/job-board/apolink?includeCompensation=true,live_jobs,3,200,
Apollo,apollo,http://apollographql.com/,https://www.ycombinator.com/companies/apollo,ashby,https://www.apollographql.com/careers,apollo-graphql,https://jobs.ashbyhq.com/apollo-graphql,https://api.ashbyhq.com/posting-api/job-board/apollo-graphql?includeCompensation=true,live_jobs,9,200,
Arini,arini,https://www.arini.ai,https://www.ycombinator.com/companies/arini,ashby,https://www.arini.ai/careers,arini,https://jobs.ashbyhq.com/arini,https://api.ashbyhq.com/posting-api/job-board/arini?includeCompensation=true,live_jobs,1,200,
Arketa,arketa,https://arketa.com,https://www.ycombinator.com/companies/arketa,ashby,https://www.arketa.com/careers,arketa,https://jobs.ashbyhq.com/arketa,https://api.ashbyhq.com/posting-api/job-board/arketa?includeCompensation=true,live_jobs,10,200,
Artie,artie,https://www.artie.com/,https://www.ycombinator.com/companies/artie,ashby,https://www.artie.com/careers,artie,https://jobs.ashbyhq.com/artie,https://api.ashbyhq.com/posting-api/job-board/artie?includeCompensation=true,live_jobs,5,200,
Ashby,ashby,https://www.ashbyhq.com,https://www.ycombinator.com/companies/ashby,ashby,https://www.ashbyhq.com/,,,,unresolved_board_token,0,200,no_ashby_org_found
AssemblyAI,assemblyai,https://www.assemblyai.com,https://www.ycombinator.com/companies/assemblyai,greenhouse,https://www.assemblyai.com/careers,assemblyai,https://job-boards.greenhouse.io/assemblyai,https://boards-api.greenhouse.io/v1/boards/assemblyai/jobs?content=true,live_jobs,6,200,
